Portfolio,Stock,Weight,Beta,Total_Risk,Systematic_Risk,Idiosyncratic_Risk,Weighted_Systematic_Risk,Weighted_Idiosyncratic_Risk
B,UNP,0.018843683083511777,0.8823362147363952,0.00022966776508479982,5.294726837335365e-05,0.00017672049671144617,9.977215453651223e-07,6.275069015555297e-08
C,IBM,0.02372356884992264,0.5013320918329219,9.911516565568453e-05,1.709331758061308e-05,8.202184807507145e-05,4.0551449649726746e-07,4.616252922141062e-08
C,TXN,0.02784940691077875,1.2480113847475764,0.00022868734900494315,0.00010592840761339279,0.00012275894139155037,2.9500433270362097e-06,9.521054171247304e-08
C,ADP,0.018050541516245487,0.8635160522300112,0.00017469442572957914,5.071263536406057e-05,0.0001239817903655186,9.153905300371944e-07,4.0396000979264227e-08
C,GOOG,0.027333677153171736,1.4155138603626345,0.0003718445679963443,0.00013627104988735928,0.00023557351810898504,3.724788882944838e-06,1.7600402060901297e-07
C,ORCL,0.03145951521402785,1.0577580117323744,0.0003612270671111275,7.609357639589678e-05,0.00028513349071523073,2.3938670243165056e-06,2.8219692869534036e-07
C,BSX,0.05776173285198556,0.5388659517202272,0.0001596615942684509,1.9748623786686253e-05,0.00013991297048176465,1.1407147313609389e-06,4.6680812265677585e-07
C,UNH,0.010314595152140279,0.27926648756050604,0.00017678513169269757,5.304115774887847e-06,0.00017148101591780973,5.4709806858048964e-08,1.8244015012583087e-08
C,TMUS,0.024239298607529654,0.37507796963601087,0.00014092826786829288,9.567940420792935e-06,0.00013136032744749996,2.319201649186529e-07,7.717991928963011e-08
C,SYK,0.01444043321299639,0.8370964860464253,0.00021809871807495154,4.765696566031573e-05,0.00017044175241463582,6.881872297518517e-07,3.554155584764787e-08
C,GS,0.009283135636926251,1.0677175961050416,0.00023097665260051153,7.753327866743142e-05,0.0001534433739330801,7.197519422453665e-07,1.3223229371093747e-08
C,UBER,0.08096957194430118,1.4022896036778292,0.0005196330161989223,0.00013373675400174455,0.00038589626219717775,1.0828607724741565e-05,2.5299635177445966e-06
C,AVGO,0.022692109334708613,1.470434176547594,0.00041060161677947604,0.0001470505069127237,0.0002635511098667523,3.336886180587851e-06,1.357108542633968e-07
C,MMC,0.02475502836513667,0.7051696056580387,0.0001115901774816664,3.381913687657839e-05,7.7771040605088e-05,8.371936926641377e-07,4.7658982555919116e-08
C,CSCO,0.0887055183084064,0.75322604652623,0.00016495567864417923,3.858566668746846e-05,0.00012637001195671077,3.4227615627873004e-06,9.943637928791341e-07
